district,sector,industry_opportunity_score,training_pressure_score,evidence_confidence,projection_available,industry_size,organization_count,candidate_aspiration,mssds_trained_2022_23,dsdp_training,projected_training,source,normalized_district,normalized_sector
Beed,Beauty & Wellness,1.78,,0.67,False,,1.0,85.0,90.0,30.0,,mssds_2023_projection_merged.csv,beed,beauty & wellness
Beed,BFSI,4.35,,0.67,False,700.0,5.0,173.0,,120.0,,mssds_2023_projection_merged.csv,beed,bfsi
Beed,Capital Goods,2.87,,0.83,False,181.0,6.0,21.0,60.0,60.0,,mssds_2023_projection_merged.csv,beed,capital goods
Beed,Construction,2.62,,0.83,True,28.0,4.0,122.0,,90.0,300.0,mssds_2023_projection_merged.csv,beed,construction
Beed,Electronics,3.47,0.0,1.0,True,22.0,2.0,338.0,494.0,510.0,0.0,mssds_2023_projection_merged.csv,beed,electronics
Beed,Food Processing,4.81,,0.67,False,755.0,7.0,116.0,60.0,,,mssds_2023_projection_merged.csv,beed,food processing
Beed,Green Jobs,1.68,,0.33,True,,,76.0,,,0.0,mssds_2023_projection_merged.csv,beed,green jobs
Beed,Iron & Steel,1.74,,0.5,False,285.0,3.0,15.0,,,,mssds_2023_projection_merged.csv,beed,iron & steel
Beed,IT/ITeS,7.04,0.0,0.83,True,,3.0,387.0,75.0,240.0,0.0,mssds_2023_projection_merged.csv,beed,it/ites
Beed,Logistics,0.18,,0.5,False,,,8.0,83.0,90.0,,mssds_2023_projection_merged.csv,beed,logistics
Beed,Media & Entertainment,1.4,,0.83,False,10.0,1.0,126.0,345.0,220.0,,mssds_2023_projection_merged.csv,beed,media & entertainment
Beed,Telecom,0.51,0.0,1.0,True,2.0,1.0,12.0,180.0,130.0,0.0,mssds_2023_projection_merged.csv,beed,telecom
Beed,Textile,3.0,,0.67,False,59.0,7.0,6.0,,60.0,,mssds_2023_projection_merged.csv,beed,textile
Beed,Tourism & Hospitality,0.33,,0.5,False,,,15.0,263.0,260.0,,mssds_2023_projection_merged.csv,beed,tourism & hospitality
Bhandara,Agriculture,5.12,,0.83,True,74.0,3.0,489.0,,660.0,160.0,mssds_2023_projection_merged.csv,bhandara,agriculture
Bhandara,Apparel,2.42,,0.67,False,,1.0,135.0,400.0,300.0,,mssds_2023_projection_merged.csv,bhandara,apparel
Bhandara,Automotive,7.86,,0.83,False,3215.0,5.0,178.0,30.0,90.0,,mssds_2023_projection_merged.csv,bhandara,automotive
Bhandara,Beauty & Wellness,4.02,,0.67,False,,1.0,259.0,51.0,60.0,,mssds_2023_projection_merged.csv,bhandara,beauty & wellness
Bhandara,BFSI,6.24,,0.67,False,700.0,6.0,364.0,,60.0,,mssds_2023_projection_merged.csv,bhandara,bfsi
Bhandara,Capital Goods,2.4,,0.83,False,325.0,4.0,41.0,119.0,120.0,,mssds_2023_projection_merged.csv,bhandara,capital goods
Bhandara,Construction,1.71,,0.83,True,23.0,1.0,164.0,,120.0,292.0,mssds_2023_projection_merged.csv,bhandara,construction
Bhandara,Electronics,5.22,0.0,1.0,True,1.0,2.0,568.0,233.0,270.0,0.0,mssds_2023_projection_merged.csv,bhandara,electronics
Bhandara,Food Processing,1.18,,0.67,False,1.0,1.0,99.0,,60.0,,mssds_2023_projection_merged.csv,bhandara,food processing
Bhandara,Green Jobs,1.99,,0.33,True,,,90.0,,,0.0,mssds_2023_projection_merged.csv,bhandara,green jobs
Bhandara,Healthcare,3.08,,0.83,False,10.0,2.0,290.0,20.0,180.0,,mssds_2023_projection_merged.csv,bhandara,healthcare
Bhandara,Iron & Steel,3.18,,0.5,False,1300.0,2.0,74.0,,,,mssds_2023_projection_merged.csv,bhandara,iron & steel
Bhandara,IT/ITeS,4.09,0.0,1.0,True,6.0,3.0,368.0,180.0,120.0,0.0,mssds_2023_projection_merged.csv,bhandara,it/ites
Bhandara,Life Science,1.19,,0.5,False,159.0,1.0,72.0,,,,mssds_2023_projection_merged.csv,bhandara,life science
Bhandara,Management,3.15,,0.67,False,158.0,3.0,220.0,,150.0,,mssds_2023_projection_merged.csv,bhandara,management
Bhandara,Media & Entertainment,0.88,,0.5,False,,,40.0,450.0,120.0,,mssds_2023_projection_merged.csv,bhandara,media & entertainment
Bhandara,Plumbing,0.8,,0.5,False,,,36.0,30.0,60.0,,mssds_2023_projection_merged.csv,bhandara,plumbing
Bhandara,Retail,,,0.33,True,,,,,60.0,0.0,mssds_2023_projection_merged.csv,bhandara,retail
Bhandara,Sports,2.48,,0.5,False,,,112.0,20.0,60.0,,mssds_2023_projection_merged.csv,bhandara,sports
Buldhana,Agriculture,8.75,94.44,1.0,True,291.0,15.0,284.0,30.0,850.0,510.0,mssds_2023_projection_merged.csv,buldhana,agriculture
